Name,URI,Region GSS code,Period,Sales volume,Reporting period,House price index All property types,Pivotable date
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2023-03,216,monthly,140.2,01-03-23
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2023-03,683,monthly,156.4,01-03-23
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2023-03,2067,monthly,150,01-03-23
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2023-04,327,monthly,141.1,01-04-23
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2023-04,166,monthly,141.9,01-04-23
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2023-04,521,monthly,157,01-04-23
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2023-04,1525,monthly,149.7,01-04-23
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2023-05,362,monthly,139.7,01-05-23
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2023-05,160,monthly,143.6,01-05-23
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2023-05,526,monthly,156.6,01-05-23
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2023-05,1605,monthly,149.3,01-05-23
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2023-06,454,monthly,140.3,01-06-23
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2023-06,191,monthly,145.9,01-06-23
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2023-06,694,monthly,157.3,01-06-23
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2023-06,2006,monthly,150,01-06-23
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2023-07,445,monthly,143.1,01-07-23
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2023-07,178,monthly,147.7,01-07-23
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2023-07,663,monthly,160.4,01-07-23
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2023-07,1903,monthly,152.3,01-07-23
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2023-08,443,monthly,145.7,01-08-23
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2023-08,213,monthly,148.2,01-08-23
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2023-08,684,monthly,163.3,01-08-23
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2023-08,1971,monthly,154.4,01-08-23
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2023-09,366,monthly,146.2,01-09-23
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2023-09,183,monthly,147,01-09-23
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2023-09,575,monthly,165.1,01-09-23
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2023-09,1636,monthly,155.2,01-09-23
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2023-10,,monthly,146,01-10-23
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2023-10,,monthly,143.4,01-10-23
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2023-10,,monthly,163.5,01-10-23
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2023-10,,monthly,154.7,01-10-23
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2023-11,,monthly,150,01-11-23
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2023-11,,monthly,147.5,01-11-23
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2023-11,,monthly,161.8,01-11-23
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2023-11,,monthly,155.5,01-11-23
