Name,URI,Region GSS code,Period,Sales volume,Reporting period,House price index All property types,Pivotable date
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2014-05,2860,monthly,97.75,01-05-14
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2014-06,705,monthly,99.63,01-06-14
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2014-06,255,monthly,97.87,01-06-14
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2014-06,1155,monthly,98.13,01-06-14
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2014-06,3036,monthly,98.92,01-06-14
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2014-07,642,monthly,100.87,01-07-14
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2014-07,314,monthly,98.57,01-07-14
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2014-07,1157,monthly,98.99,01-07-14
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2014-07,3023,monthly,99.93,01-07-14
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2014-08,683,monthly,102.04,01-08-14
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2014-08,298,monthly,99.16,01-08-14
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2014-08,1138,monthly,99.57,01-08-14
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2014-08,3113,monthly,100.59,01-08-14
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2014-09,635,monthly,101.39,01-09-14
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2014-09,307,monthly,99.86,01-09-14
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2014-09,1078,monthly,100.56,01-09-14
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2014-09,2954,monthly,100.81,01-09-14
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2014-10,700,monthly,100.15,01-10-14
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2014-10,367,monthly,99.82,01-10-14
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2014-10,1237,monthly,100.83,01-10-14
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2014-10,3289,monthly,100.54,01-10-14
